event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,inter2,interaction,civilian_targeting,region,country,location,notes,check,fatalities,perpetrator,is_lethal
PSE66118,2024-12-28,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Gaza - Ash Shati' Camp,"On 28 December 2024, Israeli warplanes launched an airstrike on a house on Nafaq street in northwest of Gaza, coded to Gaza - Ash Shati' Camp (Gaza City, Gaza Strip) killing 3 people, including women and children, and injuring others.",1,3,Israel,1
RUS35523,2024-12-30,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Ukraine (2019-),,8,Civilians (Russia),7,78,Civilian targeting,Europe,Russia,Sudzha,"On 30 December 2024, according to the Russian Investigative Committee, citing an alleged eyewitness, Ukrainian soldiers killed a woman and her child at an unidentified location in the Sudzhanskiy district (coded as Sudzha).",1,2,Ukraine,1
YEM95824,2024-12-30,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Ad Durayhimi,"On 30 December 2024, a projectile leftover from previous unidentified military activity exploded west of Ad Durayhimi city (Al Hudaydah), killing 2 civilians, including a child. Sources differed as to the origin of the device (Houthi or anti-Houthi).",1,2,Other/Non-State,1
PAK25315,2015-01-03,2015,1,Political violence,Violence against civilians,Attack,Police Forces of India (2014-) Border Security Force,,8,Civilians (Pakistan),7,78,Civilian targeting,South Asia,Pakistan,Shakargarh,13 year old girl was killed after Indian fire across the border.,1,1,India,1
YEM32806,2015-01-26,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2009-2017),,8,AQAP: Al Qaeda in the Arabian Peninsula,2,28,,Middle East,Yemen,Harib,"On Monday, a CIA drone strike on a car in Yemen killed three persons in Marib, the first since the Sanaa government stepped down last week. One of those killed was a young boy.",1,3,United States,1
YEM33624,2015-04-03,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Decisive Storm,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Hajar Uqaysh,"The Saudi-led Arab coalition warplanes bombed on April 3, 2015 Hajjar Ekaish village in Bani Matar District in Sana'a, killing 11 civilians, seven were children and wounding seven civilians, including three children.",1,11,Other/Non-State,1
SSD1906,2015-04-08,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,8,Civilians (South Sudan),7,78,Civilian targeting,Eastern Africa,South Sudan,Aweil,"SAF dropped bombs in Mayom Angok, Akuk-Rial and Nyinboli in Northern Bahr el Ghazal. 4 killed over Apr 8-9, including 2 children (2 fatalities coded for Apr 8, and 2 for Apr 9).",1,2,Sudan,1
SSD1907,2015-04-09,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,8,Civilians (South Sudan),7,78,Civilian targeting,Eastern Africa,South Sudan,Aweil,"SAF dropped bombs in Mayom Angok, Akuk-Rial and Nyinboli in Northern Bahr el Ghazal. 4 killed over Apr 8-9, including 2 children (2 fatalities coded for Apr 8, and 2 for Apr 9).",1,2,Sudan,1
YEM33931,2015-04-14,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Decisive Storm,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Ar Rubayi,"On 14 April 2015, a coalition airstrike killed ten civilians, including seven children and two women, and wounded 14 others in al-Akma village in a residential area, 20km north-east of Taizz.",1,10,Other/Non-State,1
YEM34029,2015-04-18,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Decisive Storm,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Al Khafji,"On 18 April 2015, 2015 an airstrike hit a Qat market called Al-Khafji market in in Sada'a killing 3 people, among those 2 were children, and wondering others sever.",1,3,Other/Non-State,1
YEM34210,2015-04-25,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Hizyaz,"Coalition airstrikes targeted Heziez area in southern Sana'a, killing one child and injuring several people",1,1,Other/Non-State,1
YEM34245,2015-04-26,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Ad Dalil,"On 26 April 2015, the Saudi-led Arab coalition fighter jet caused the death of 22 civilians, including two children, and the injury 32 others including five e children in an airstrike, that targeted a bridge in Al-Daliel area in Al-Makhader district.",1,22,Other/Non-State,1
YEM34270,2015-04-27,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Aden - Hayy al Qati,"Saudi-led coalition air strikes hit al-Qatie area of Aden on Monday, the 27th killing 4 civilians, including a child.",1,4,Other/Non-State,1
YEM34313,2015-04-28,2015,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,18,,Middle East,Yemen,Harad,"Saudi artillery reportedly targeted Al-Duraish village in Al-Hajawerah area in the west of Harad district, killing and injuring two women and two children. Other areas hit include Madahsha, Om al-Torab, al-Mazraq in Hajja province.",1,2,Other/Non-State,1
YEM34506,2015-05-06,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Milah,"Coalition airstrikes hit Al-Arami castle in Al-Arsh district, killing one child.",1,1,Other/Non-State,1
YEM34523,2015-05-06,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Kitaf,"An airstrike in Kitaf area killed 8 members of a family and wounded 4 others, including women and children. According to the source, there were no military targets present in the area.",1,8,Other/Non-State,1
YEM34525,2015-05-06,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Sadah,"On 6 May 2015, 2015 at least three aerial bombs hit a cultural centre and a residential house in southwest Saada City, resulting in the death of 28 people and in the injury of three men. 17 of the victims were children.",1,28,Other/Non-State,1
YEM34660,2015-05-11,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Taizz - Al Murur,"On 11 May 2015, 2015 Saudi-led Arab Coalition airstrike caused the death of 5 civilians, including two children, and wounded 7 others. The target was Al-Sunnah mosque neighbourhood west of the city of Ta'iz in an area called Almuroor.",1,5,Other/Non-State,1
YEM34895,2015-05-21,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Sadah,The Saudi-led coalition bombarded on Thursday the gate of Sa'ada city's entrance destroying a part of the gate. Airstrikes later in the day at Talh-Sahar intersection reportedly led to the death and injury of 'dozens' including women and children.,1,10,Other/Non-State,1
SAU5105,2015-05-22,2015,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2015-2017) Houthi-Saleh,,8,Civilians (Saudi Arabia),7,78,Civilian targeting,Middle East,Saudi Arabia,At Tuwal,One child was killed and three other children were injured in shelling from Yemen that hit the villages of Al-Twaal Governorates in Jizan Province.,1,1,Yemen,1
YEM35112,2015-05-29,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,18,,Middle East,Yemen,Ghadran,"On 29 May 2015, coalition airstrikes reportedly hit the Houthi-occupied Ghadran health center (Bani Hushaysh, Sanaa) which was still under construction at that time. Some people in the area warned Houthis through social media that the center would be attacked if they did not leave, but they refused to vacate it. The attack killed eight people, including a child, and injured thirteen others.",1,8,Other/Non-State,1
YEM35351,2015-06-07,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Al Qabil,"On 7 June 2015, three civilians, including women and children, were killed and four others were injured when coalition jets bombed the village of Qabil in the Sahar district of Saada.",1,3,Other/Non-State,1
YEM35400,2015-06-09,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Al Yatimah,"On 9 June 2015, coalition airstrikes reportedly targeted Al Yatimah area of Khabb wa ash Shaaf district, killing at least four civilians including children.",1,4,Other/Non-State,1
YEM35501,2015-06-13,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Al Ghurzah,"On 13 June 2015, coalition airstrikes reportedly targeted a house in Ghurzah, Hamdan district, killing two children and injuring six.",1,2,Other/Non-State,1
YEM35555,2015-06-15,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Al Said,"On 15 June 2015, coalition airstrikes targeted a civilian house in Al-Naqabah junction area of As Said district, killing and injuring several people including children and females. Unknown fatalities coded as 10.",1,10,Other/Non-State,1
YEM35588,2015-06-16,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Taizz - Al Mujaliyah,48-year old woman and four of her children were killed when an airstrike destroyed their home in al-Mujaliyya neighbourhood in Taizz on June 16.,1,5,Other/Non-State,1
YEM35648,2015-06-19,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,18,,Middle East,Yemen,Aden - Dar Sad,"The Iran English Radio reported that a military convoy carrying civilians in northern Aden, including women and children, was hit by two Saudi airstrikes, killing more than 31 people.",1,31,Other/Non-State,1
YEM35680,2015-06-20,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Suq Sirwah,"Coalition airstrikes hit residential area in Sirwah. Fifteen people, including five women and children, were killed on Saturday 20th of June by Saudi airstrikes in the governorates of Sa'ada, Sana a and Marib.",1,5,Other/Non-State,1
YEM35686,2015-06-20,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Sadah,"Fifteen people, including five women and children, were killed on Saturday 20th of June by Saudi airstrikes in the governorates of Sa'ada, Sana a and Marib.",1,5,Other/Non-State,1
